20,15,32,32,1,16
12
34,3,3,3,3,3,3,3,35,0,18,3,3,3,3,3,3,3,3,19
0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
0,64,65,0,0,64,65,0,0,64,65,0,0,0,100,0,116,117,0,0
4,80,81,4,4,80,81,4,4,80,81,4,0,0,0,0,132,133,100,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,21,20,21,96,96,96,96,96,112,113,0,0,52,52,52,0,0,0
0,36,37,36,37,96,96,96,96,96,128,129,0,0,52,52,52,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,23,22,23,96,96,96,96,96,112,113,0,0,52,52,52,0,0,0
0,38,39,38,39,96,96,96,96,96,128,129,0,0,52,52,52,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,64,65,4,4,64,65,4,4,64,65,4,100,0,0,0,0,0,0,0
0,80,81,0,0,80,81,0,0,80,81,0,0,0,0,0,0,100,0,116
0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,132
34,3,3,3,3,3,3,3,35,0,18,3,3,3,3,3,3,3,3,35
